condition,model,task_count,task_weight,sum_task_success_pct,recomputed_overall_pct,website_csv_overall_pct,website_js_overall_pct,difference_vs_csv_pct,difference_vs_js_pct,status
ID,ACT,40,1/40,888,22.20,22.20,22.20,0.00,0.00,PASS
ID,X-VLA,40,1/40,524,13.10,13.10,13.10,0.00,0.00,PASS
ID,GR00T,40,1/40,462,11.55,11.55,11.55,0.00,0.00,PASS
ID,SmolVLA,40,1/40,278,6.95,6.95,6.95,0.00,0.00,PASS
ID,Pi0.5,40,1/40,194,4.85,4.85,4.85,0.00,0.00,PASS
ID,DP,40,1/40,184,4.60,4.60,4.60,0.00,0.00,PASS
ID,FastWAM,40,1/40,46,1.15,1.15,1.15,0.00,0.00,PASS
Object-OOD,ACT,40,1/40,596,14.90,14.90,14.90,0.00,0.00,PASS
Object-OOD,X-VLA,40,1/40,528,13.20,13.20,13.20,0.00,0.00,PASS
Object-OOD,GR00T,40,1/40,400,10.00,10.00,10.00,0.00,0.00,PASS
Object-OOD,SmolVLA,40,1/40,52,1.30,1.30,1.30,0.00,0.00,PASS
Object-OOD,Pi0.5,40,1/40,56,1.40,1.40,1.40,0.00,0.00,PASS
Object-OOD,DP,40,1/40,86,2.15,2.15,2.15,0.00,0.00,PASS
Object-OOD,FastWAM,40,1/40,62,1.55,1.55,1.55,0.00,0.00,PASS
Background-OOD,ACT,40,1/40,328,8.20,8.20,8.20,0.00,0.00,PASS
Background-OOD,X-VLA,40,1/40,632,15.80,15.80,15.80,0.00,0.00,PASS
Background-OOD,GR00T,40,1/40,496,12.40,12.40,12.40,0.00,0.00,PASS
Background-OOD,SmolVLA,40,1/40,236,5.90,5.90,5.90,0.00,0.00,PASS
Background-OOD,Pi0.5,40,1/40,134,3.35,3.35,3.35,0.00,0.00,PASS
Background-OOD,DP,40,1/40,168,4.20,4.20,4.20,0.00,0.00,PASS
Background-OOD,FastWAM,40,1/40,2,0.05,0.05,0.05,0.00,0.00,PASS
Lighting-OOD,ACT,40,1/40,426,10.65,10.65,10.65,0.00,0.00,PASS
Lighting-OOD,X-VLA,40,1/40,708,17.70,17.70,17.70,0.00,0.00,PASS
Lighting-OOD,GR00T,40,1/40,592,14.80,14.80,14.80,0.00,0.00,PASS
Lighting-OOD,SmolVLA,40,1/40,212,5.30,5.30,5.30,0.00,0.00,PASS
Lighting-OOD,Pi0.5,40,1/40,108,2.70,2.70,2.70,0.00,0.00,PASS
Lighting-OOD,DP,40,1/40,64,1.60,1.60,1.60,0.00,0.00,PASS
Lighting-OOD,FastWAM,40,1/40,42,1.05,1.05,1.05,0.00,0.00,PASS
Speed-OOD,ACT,40,1/40,680,17.00,17.00,17.00,0.00,0.00,PASS
Speed-OOD,X-VLA,40,1/40,762,19.05,19.05,19.05,0.00,0.00,PASS
Speed-OOD,GR00T,40,1/40,406,10.15,10.15,10.15,0.00,0.00,PASS
Speed-OOD,SmolVLA,40,1/40,428,10.70,10.70,10.70,0.00,0.00,PASS
Speed-OOD,Pi0.5,40,1/40,296,7.40,7.40,7.40,0.00,0.00,PASS
Speed-OOD,DP,40,1/40,506,12.65,12.65,12.65,0.00,0.00,PASS
Speed-OOD,FastWAM,40,1/40,46,1.15,1.15,1.15,0.00,0.00,PASS
Joint-OOD,ACT,40,1/40,4,0.10,0.10,0.10,0.00,0.00,PASS
Joint-OOD,X-VLA,40,1/40,234,5.85,5.85,5.85,0.00,0.00,PASS
Joint-OOD,GR00T,40,1/40,212,5.30,5.30,5.30,0.00,0.00,PASS
Joint-OOD,SmolVLA,40,1/40,82,2.05,2.05,2.05,0.00,0.00,PASS
Joint-OOD,Pi0.5,40,1/40,66,1.65,1.65,1.65,0.00,0.00,PASS
Joint-OOD,DP,40,1/40,0,0.00,0.00,0.00,0.00,0.00,PASS
Joint-OOD,FastWAM,40,1/40,0,0.00,0.00,0.00,0.00,0.00,PASS
