condition,task,task_length,DP,ACT,SmolVLA,X-VLA,Pi0.5,GR00T,FastWAM,unit
ID,CM000,short,0,0,0,0,0,0,0,percent_0_to_100
ID,CM001,short,40,8,98,100,82,60,6,percent_0_to_100
ID,CM002,short,12,34,0,2,0,0,0,percent_0_to_100
ID,CM003,short,50,100,0,94,20,100,6,percent_0_to_100
ID,CM004,short,0,74,0,0,0,0,0,percent_0_to_100
ID,CM005,long,0,0,0,0,0,0,0,percent_0_to_100
ID,CM006,short,0,0,0,0,2,0,0,percent_0_to_100
ID,CM007,long,0,0,0,0,0,0,0,percent_0_to_100
ID,CM008,long,0,62,0,0,0,50,0,percent_0_to_100
ID,CM009,long,0,4,0,0,0,0,0,percent_0_to_100
ID,FC000,short,0,2,0,0,0,0,0,percent_0_to_100
ID,FC001,short,0,4,0,0,0,0,0,percent_0_to_100
ID,FC002,short,0,4,0,0,0,0,0,percent_0_to_100
ID,FC003,short,0,64,0,24,0,0,0,percent_0_to_100
ID,FC004,long,0,14,0,0,0,0,0,percent_0_to_100
ID,FC005,short,0,4,0,0,0,10,0,percent_0_to_100
ID,FC006,long,0,50,40,32,4,34,0,percent_0_to_100
ID,FC007,short,0,0,0,0,0,0,0,percent_0_to_100
ID,FC008,long,0,0,0,0,0,0,0,percent_0_to_100
ID,FC009,short,0,100,0,20,0,0,0,percent_0_to_100
ID,HRI000,short,0,18,0,0,0,0,0,percent_0_to_100
ID,HRI001,short,0,2,0,2,0,0,0,percent_0_to_100
ID,HRI002,short,0,0,6,4,10,0,0,percent_0_to_100
ID,HRI003,long,0,0,0,0,0,0,0,percent_0_to_100
ID,HRI004,long,58,24,28,46,22,0,16,percent_0_to_100
ID,HRI005,long,0,0,0,2,0,0,2,percent_0_to_100
ID,HRI006,short,0,4,24,6,0,4,0,percent_0_to_100
ID,HRI007,long,12,74,16,44,16,18,10,percent_0_to_100
ID,HRI008,short,0,0,0,0,0,0,0,percent_0_to_100
ID,HRI009,long,12,40,36,52,2,36,0,percent_0_to_100
ID,HT000,long,0,0,0,0,0,0,0,percent_0_to_100
ID,HT001,short,0,84,26,72,34,98,6,percent_0_to_100
ID,HT002,short,0,96,0,16,0,46,0,percent_0_to_100
ID,HT003,short,0,0,4,0,2,2,0,percent_0_to_100
ID,HT004,short,0,4,0,2,0,2,0,percent_0_to_100
ID,HT005,long,0,0,0,0,0,0,0,percent_0_to_100
ID,HT006,long,0,0,0,0,0,0,0,percent_0_to_100
ID,HT007,short,0,8,0,0,0,0,0,percent_0_to_100
ID,HT008,long,0,0,0,0,0,0,0,percent_0_to_100
ID,HT009,long,0,10,0,6,0,2,0,percent_0_to_100
Object-OOD,CM000,short,0,0,0,0,0,0,0,percent_0_to_100
Object-OOD,CM001,short,0,0,0,50,0,46,0,percent_0_to_100
Object-OOD,CM002,short,0,0,0,0,0,0,0,percent_0_to_100
Object-OOD,CM003,short,38,94,0,52,0,24,0,percent_0_to_100
Object-OOD,CM004,short,0,48,0,30,0,0,0,percent_0_to_100
Object-OOD,CM005,long,0,0,0,0,0,0,0,percent_0_to_100
Object-OOD,CM006,short,0,0,0,0,0,0,0,percent_0_to_100
Object-OOD,CM007,long,0,0,0,0,0,0,0,percent_0_to_100
Object-OOD,CM008,long,0,2,0,0,0,0,0,percent_0_to_100
Object-OOD,CM009,long,0,0,0,0,0,0,0,percent_0_to_100
Object-OOD,FC000,short,0,2,0,8,0,36,2,percent_0_to_100
Object-OOD,FC001,short,0,18,0,2,0,8,2,percent_0_to_100
Object-OOD,FC002,short,0,0,0,0,0,0,0,percent_0_to_100
Object-OOD,FC003,short,0,50,0,50,0,22,6,percent_0_to_100
Object-OOD,FC004,long,0,68,0,52,0,0,6,percent_0_to_100
Object-OOD,FC005,short,0,4,0,20,0,28,2,percent_0_to_100
Object-OOD,FC006,long,0,0,0,0,0,60,2,percent_0_to_100
Object-OOD,FC007,short,0,0,0,8,0,18,2,percent_0_to_100
Object-OOD,FC008,long,0,0,0,0,0,0,0,percent_0_to_100
Object-OOD,FC009,short,0,94,0,0,0,8,6,percent_0_to_100
Object-OOD,HRI000,short,0,34,0,2,0,4,2,percent_0_to_100
Object-OOD,HRI001,short,0,0,0,2,0,0,0,percent_0_to_100
Object-OOD,HRI002,short,0,0,2,50,22,0,4,percent_0_to_100
Object-OOD,HRI003,long,0,0,0,0,0,0,0,percent_0_to_100
Object-OOD,HRI004,long,30,26,18,14,22,0,6,percent_0_to_100
Object-OOD,HRI005,long,0,0,8,2,0,0,0,percent_0_to_100
Object-OOD,HRI006,short,0,68,8,56,2,38,8,percent_0_to_100
Object-OOD,HRI007,long,16,52,12,34,8,18,8,percent_0_to_100
